USA		Japan	United Kingdom	France	Italy	Canada	Korea	Australia	Spain	Mexico	Netherlands	Switzerland	Germany	Sweden	Belgium	Austria	Norway
Q3-1989	0.7465	1.749678	0.095835	0.817551	1.042437	0.360921	3.357488	0.827958	1.33968	1.864124	0.877682	1.059046	0.913245	0.030822	0.371448	0.829098	0.973042
Q4-1989	0.211582	3.098252	0.090482	0.780192	1.02914	-0.214275	3.487266	-0.259174	-0.166005	-0.881772	0.805274	1.33132	1.158806	1.30721	1.298638	1.300396	0.699918
Q1-1990	1.094876	-0.475764	0.673097	1.546892	0.398617	0.93863	1.210425	0.824894	0.876019	2.174245	1.253437	1.541258	2.075707	0.212357	1.563246	1.232355	-0.363704
Q2-1990	0.386694	3.15397	0.514413	0.069508	0.304784	-0.415758	1.753083	0.112191	1.699634	2.169802	0.836914	0.293292	0.49166	-0.305109	-0.353728	1.078143	1.080399
Q3-1990	0.024695	1.676742	-1.038103	0.089464	0.160345	-0.717766	3.886683	-0.552396	-0.298469	1.364137	1.362325	-0.24896	2.105935	-0.792885	0.132865	0.826363	-0.983728
Q4-1990	-0.852432	-0.18998	-0.333802	0.253995	-0.649584	-0.896397	1.592377	0.583104	3.781683	1.270954	0.792733	-0.133363	1.760421	1.135943	1.213354	0.683751	2.677836
Q1-1991	-0.469263	0.871317	-0.281558	-0.10937	1.973555	-1.446843	3.627197	-1.314816	-1.921754	0.275608	-0.406318	-0.319655	2.895437	-0.311367	-0.431525	0.692705	0.848574
Q2-1991	0.776059	1.186411	-0.121109	0.734552	-0.547241	0.457351	1.436047	-0.15958	1.219275	1.530226	1.17201	-0.523819	-0.415362	-1.147189	1.167533	0.912164	0.523066
Q3-1991	0.480012	-0.221379	-0.228059	0.340933	0.03582	0.127696	2.290148	0.459124	0.755272	0.185943	0.408865	0.041996	-0.505557	-0.485888	0.674732	1.109097	-0.244359
Q4-1991	0.43657	0.702333	0.160395	0.607428	1.173646	0.180221	2.334191	0.074213	0.497512	1.806169	1.109337	0.102257	1.295725	-0.154936	0.505904	0.611831	0.733277
Q1-1992	1.181242	0.031101	-0.005644	0.843085	0.268946	0.065741	1.932648	0.784264	0.997701	-0.008741	0.707698	0.608871	1.602069	0.917573	1.401939	0.383704	2.126532
Q2-1992	1.102659	0.350154	-0.123109	-0.1538	-0.057245	0.120396	0.659176	0.693992	-1.303955	1.639826	-0.918964	-0.248539	-0.654161	-0.513648	-1.215734	0.47917	0.52145
Q3-1992	0.97211	0.117665	0.639966	-0.041149	-0.222056	0.538179	-0.002284	1.0141	0.063867	0.928578	0.30421	-0.753634	-0.29818	-1.447436	0.308941	0.079119	1.310096
Q4-1992	1.002018	-0.637501	0.703627	-0.240765	-0.689307	0.565858	1.572058	2.061443	-0.651596	0.083307	0.376705	-0.710536	-0.211828	-1.3723	-1.232574	-0.302467	-0.715807
